Datetime,DAYTON_MW
1/4/05 2:00,1938
1/4/05 3:00,1937
1/4/05 4:00,1947
1/4/05 5:00,1982
1/4/05 6:00,2061
1/4/05 7:00,2198
1/4/05 8:00,2331
1/4/05 9:00,2390
1/4/05 10:00,2456
1/4/05 11:00,2471
1/4/05 12:00,2411
1/4/05 13:00,2330
1/4/05 14:00,2280
1/4/05 15:00,2235
1/4/05 16:00,2218
1/4/05 17:00,2255
1/4/05 18:00,2427
1/4/05 19:00,2544
1/4/05 20:00,2527
1/4/05 21:00,2492
1/4/05 22:00,2419
1/4/05 23:00,2296
1/5/05 0:00,2145
1/5/05 1:00,1859
1/5/05 2:00,1790
1/5/05 3:00,1761
1/5/05 4:00,1739
1/5/05 5:00,1743
1/5/05 6:00,1775
1/5/05 7:00,1842
1/5/05 8:00,1934
1/5/05 9:00,1994
1/5/05 10:00,2050
1/5/05 11:00,2078
1/5/05 12:00,2066
1/5/05 13:00,2038
1/5/05 14:00,1996
1/5/05 15:00,1943
1/5/05 16:00,1932
1/5/05 17:00,1995
1/5/05 18:00,2197
1/5/05 19:00,2354
1/5/05 20:00,2358
1/5/05 21:00,2331
1/5/05 22:00,2264
1/5/05 23:00,2181
1/6/05 0:00,2073
1/6/05 1:00,2218
1/6/05 2:00,2154
1/6/05 3:00,2116
1/6/05 4:00,2104
1/6/05 5:00,2108
1/6/05 6:00,2142
1/6/05 7:00,2188
1/6/05 8:00,2267
1/6/05 9:00,2327
1/6/05 10:00,2367
1/6/05 11:00,2367
1/6/05 12:00,2296
1/6/05 13:00,2172
1/6/05 14:00,2090
1/6/05 15:00,2018
1/6/05 16:00,1997
1/6/05 17:00,2019
1/6/05 18:00,2136
1/6/05 19:00,2202
1/6/05 20:00,2184
1/6/05 21:00,2180
1/6/05 22:00,2138
1/6/05 23:00,2069
1/7/05 0:00,1960
1/7/05 1:00,2035
1/7/05 2:00,1968
1/7/05 3:00,1950
1/7/05 4:00,1954
1/7/05 5:00,1968
1/7/05 6:00,2027
1/7/05 7:00,2117
1/7/05 8:00,2232
1/7/05 9:00,2314
1/7/05 10:00,2360
1/7/05 11:00,2333
1/7/05 12:00,2276
1/7/05 13:00,2216
1/7/05 14:00,2154
1/7/05 15:00,2115
1/7/05 16:00,2099
1/7/05 17:00,2142
1/7/05 18:00,2336
1/7/05 19:00,2429
1/7/05 20:00,2410
1/7/05 21:00,2398
1/7/05 22:00,2395
1/7/05 23:00,2366
1/8/05 0:00,2301
1/8/05 1:00,2068
1/8/05 2:00,1989
1/8/05 3:00,1955
1/8/05 4:00,1932
1/8/05 5:00,1929
1/8/05 6:00,1986
1/8/05 7:00,2056
1/8/05 8:00,2118
1/8/05 9:00,2161
1/8/05 10:00,2214
1/8/05 11:00,2205
1/8/05 12:00,2234
1/8/05 13:00,2242
1/8/05 14:00,2200
1/8/05 15:00,2177
1/8/05 16:00,2146
1/8/05 17:00,2175
1/8/05 18:00,2376
1/8/05 19:00,2498
1/8/05 20:00,2492
1/8/05 21:00,2439
1/8/05 22:00,2368
1/8/05 23:00,2261
1/9/05 0:00,2137
1/9/05 1:00,2021
1/9/05 2:00,1934
1/9/05 3:00,1893
1/9/05 4:00,1884
1/9/05 5:00,1929
1/9/05 6:00,2065
1/9/05 7:00,2281
1/9/05 8:00,2450
1/9/05 9:00,2499
1/9/05 10:00,2543
1/9/05 11:00,2582
1/9/05 12:00,2586
1/9/05 13:00,2582
1/9/05 14:00,2571
1/9/05 15:00,2515
1/9/05 16:00,2457
1/9/05 17:00,2477
1/9/05 18:00,2641
1/9/05 19:00,2698
1/9/05 20:00,2643
1/9/05 21:00,2574
1/9/05 22:00,2478
1/9/05 23:00,2338
1/10/05 0:00,2181
1/10/05 1:00,2315
1/10/05 2:00,2232
1/10/05 3:00,2175
1/10/05 4:00,2146
1/10/05 5:00,2174
1/10/05 6:00,2274
1/10/05 7:00,2476
1/10/05 8:00,2625
1/10/05 9:00,2591
1/10/05 10:00,2565
1/10/05 11:00,2552
1/10/05 12:00,2453
1/10/05 13:00,2419
1/10/05 14:00,2391
1/10/05 15:00,2334
1/10/05 16:00,2287
1/10/05 17:00,2291
1/10/05 18:00,2476
1/10/05 19:00,2562
1/10/05 20:00,2536
1/10/05 21:00,2508
1/10/05 22:00,2443
1/10/05 23:00,2311
1/11/05 0:00,2136
1/11/05 1:00,2332
1/11/05 2:00,2290
1/11/05 3:00,2285
1/11/05 4:00,2309
1/11/05 5:00,2357
1/11/05 6:00,2512
1/11/05 7:00,2722
1/11/05 8:00,2869
1/11/05 9:00,2873
1/11/05 10:00,2874
1/11/05 11:00,2852
1/11/05 12:00,2799
1/11/05 13:00,2757
1/11/05 14:00,2727
1/11/05 15:00,2673
1/11/05 16:00,2688
1/11/05 17:00,2702
1/11/05 18:00,2861
1/11/05 19:00,2975
1/11/05 20:00,2926
1/11/05 21:00,2869
1/11/05 22:00,2794
1/11/05 23:00,2664
1/12/05 0:00,2471
1/12/05 1:00,1784
1/12/05 2:00,1711
1/12/05 3:00,1671
1/12/05 4:00,1672
1/12/05 5:00,1693
1/12/05 6:00,1774
1/12/05 7:00,1870
1/12/05 8:00,2012
1/12/05 9:00,2115
1/12/05 10:00,2216
1/12/05 11:00,2234
1/12/05 12:00,2225
1/12/05 13:00,2231
1/12/05 14:00,2220
1/12/05 15:00,2212
1/12/05 16:00,2214
1/12/05 17:00,2285
1/12/05 18:00,2527
1/12/05 19:00,2661
1/12/05 20:00,2662
1/12/05 21:00,2665
1/12/05 22:00,2631
1/12/05 23:00,2548
1/13/05 0:00,2441
1/13/05 1:00,1964
1/13/05 2:00,1896
1/13/05 3:00,1859
1/13/05 4:00,1853
1/13/05 5:00,1867
1/13/05 6:00,1939
1/13/05 7:00,2031
1/13/05 8:00,2156
1/13/05 9:00,2229
1/13/05 10:00,2293
1/13/05 11:00,2296
1/13/05 12:00,2248
1/13/05 13:00,2149
1/13/05 14:00,2093
1/13/05 15:00,2069
1/13/05 16:00,2056
1/13/05 17:00,2073
1/13/05 18:00,2220
1/13/05 19:00,2235
1/13/05 20:00,2204
1/13/05 21:00,2164
1/13/05 22:00,2125
1/13/05 23:00,2046
1/14/05 0:00,1910
1/14/05 1:00,2028
1/14/05 2:00,1951
1/14/05 3:00,1920
1/14/05 4:00,1916
1/14/05 5:00,1971
1/14/05 6:00,2119
1/14/05 7:00,2393
1/14/05 8:00,2549
1/14/05 9:00,2537
1/14/05 10:00,2496
1/14/05 11:00,2459
1/14/05 12:00,2393
1/14/05 13:00,2350
1/14/05 14:00,2322
1/14/05 15:00,2264
1/14/05 16:00,2233
1/14/05 17:00,2265
1/14/05 18:00,2440
1/14/05 19:00,2516
1/14/05 20:00,2467
1/14/05 21:00,2432
1/14/05 22:00,2375
1/14/05 23:00,2264
1/15/05 0:00,2103
1/15/05 1:00,2208
1/15/05 2:00,2083
1/15/05 3:00,2047
1/15/05 4:00,2029
1/15/05 5:00,2081
1/15/05 6:00,2219
1/15/05 7:00,2467
1/15/05 8:00,2626
1/15/05 9:00,2591
1/15/05 10:00,2576
1/15/05 11:00,2565
1/15/05 12:00,2498
1/15/05 13:00,2470
1/15/05 14:00,2440
1/15/05 15:00,2388
1/15/05 16:00,2371
1/15/05 17:00,2416
1/15/05 18:00,2580
1/15/05 19:00,2648
1/15/05 20:00,2610
1/15/05 21:00,2582
1/15/05 22:00,2494
1/15/05 23:00,2384
1/16/05 0:00,2160
1/16/05 1:00,2157
1/16/05 2:00,2078
1/16/05 3:00,2029
1/16/05 4:00,2026
1/16/05 5:00,2084
1/16/05 6:00,2226
1/16/05 7:00,2508
1/16/05 8:00,2667
1/16/05 9:00,2669
1/16/05 10:00,2522
1/16/05 11:00,2639
1/16/05 12:00,2512
1/16/05 13:00,2469
1/16/05 14:00,2427
1/16/05 15:00,2391
1/16/05 16:00,2312
1/16/05 17:00,2381
1/16/05 18:00,2602
1/16/05 19:00,2718
1/16/05 20:00,2704
1/16/05 21:00,2684
1/16/05 22:00,2612
1/16/05 23:00,2453
1/17/05 0:00,2256
1/17/05 1:00,2126
1/17/05 2:00,2061
1/17/05 3:00,2010
1/17/05 4:00,2005
1/17/05 5:00,2039
1/17/05 6:00,2184
1/17/05 7:00,2439
1/17/05 8:00,2609
1/17/05 9:00,2574
1/17/05 10:00,2569
1/17/05 11:00,2567
1/17/05 12:00,2547
1/17/05 13:00,2538
1/17/05 14:00,2516
1/17/05 15:00,2509
1/17/05 16:00,2474
1/17/05 17:00,2543
1/17/05 18:00,2703
1/17/05 19:00,2784
1/17/05 20:00,2746
1/17/05 21:00,2715
1/17/05 22:00,2618
1/17/05 23:00,2468
1/18/05 0:00,2290
1/18/05 1:00,1843
1/18/05 2:00,1797
1/18/05 3:00,1785
1/18/05 4:00,1796
1/18/05 5:00,1844
1/18/05 6:00,1996
1/18/05 7:00,2284
1/18/05 8:00,2473
1/18/05 9:00,2499
1/18/05 10:00,2500
1/18/05 11:00,2505
1/18/05 12:00,2513
1/18/05 13:00,2497
1/18/05 14:00,2514
1/18/05 15:00,2496
1/18/05 16:00,2488
1/18/05 17:00,2563
1/18/05 18:00,2728
1/18/05 19:00,2785
1/18/05 20:00,2757
1/18/05 21:00,2716
1/18/05 22:00,2626
1/18/05 23:00,2451
1/19/05 0:00,2270
1/19/05 1:00,1750
1/19/05 2:00,1668
1/19/05 3:00,1632
1/19/05 4:00,1617
1/19/05 5:00,1619
1/19/05 6:00,1646
1/19/05 7:00,1704
1/19/05 8:00,1811
1/19/05 9:00,1890
1/19/05 10:00,1958
1/19/05 11:00,1985
1/19/05 12:00,1985
1/19/05 13:00,1989
1/19/05 14:00,1959
1/19/05 15:00,1938
1/19/05 16:00,1958
1/19/05 17:00,2027
1/19/05 18:00,2168
1/19/05 19:00,2209
1/19/05 20:00,2216
1/19/05 21:00,2190
1/19/05 22:00,2136
1/19/05 23:00,2048
1/20/05 0:00,1935
1/20/05 1:00,1743
1/20/05 2:00,1656
1/20/05 3:00,1627
1/20/05 4:00,1613
1/20/05 5:00,1640
1/20/05 6:00,1704
1/20/05 7:00,1820
1/20/05 8:00,1943
1/20/05 9:00,2042
1/20/05 10:00,2123
1/20/05 11:00,2196
1/20/05 12:00,2149
1/20/05 13:00,2123
1/20/05 14:00,2102
1/20/05 15:00,2075
1/20/05 16:00,2051
1/20/05 17:00,2076
1/20/05 18:00,2216
1/20/05 19:00,2253
1/20/05 20:00,2201
1/20/05 21:00,2166
1/20/05 22:00,2104
1/20/05 23:00,2010
1/21/05 0:00,1882
1/21/05 1:00,1793
1/21/05 2:00,1729
1/21/05 3:00,1674
1/21/05 4:00,1654
1/21/05 5:00,1707
1/21/05 6:00,1842
1/21/05 7:00,2094
1/21/05 8:00,2278
1/21/05 9:00,2272
1/21/05 10:00,2277
1/21/05 11:00,2280
1/21/05 12:00,2255
1/21/05 13:00,2248
1/21/05 14:00,2244
1/21/05 15:00,2219
1/21/05 16:00,2193
1/21/05 17:00,2224
1/21/05 18:00,2339
1/21/05 19:00,2352
1/21/05 20:00,2297
1/21/05 21:00,2253
1/21/05 22:00,2195
1/21/05 23:00,2078
1/22/05 0:00,1895
1/22/05 1:00,1859
1/22/05 2:00,1792
1/22/05 3:00,1768
1/22/05 4:00,1759
1/22/05 5:00,1794
1/22/05 6:00,1943
1/22/05 7:00,2206
1/22/05 8:00,2372
1/22/05 9:00,2345
1/22/05 10:00,2331
1/22/05 11:00,2330
1/22/05 12:00,2312
1/22/05 13:00,2317
1/22/05 14:00,2314
1/22/05 15:00,2297
1/22/05 16:00,2280
1/22/05 17:00,2297
1/22/05 18:00,2431
1/22/05 19:00,2480
1/22/05 20:00,2440
1/22/05 21:00,2391
1/22/05 22:00,2273
1/22/05 23:00,2120
1/23/05 0:00,1921
1/23/05 1:00,1803
1/23/05 2:00,1739
1/23/05 3:00,1702
1/23/05 4:00,1688
1/23/05 5:00,1725
1/23/05 6:00,1872
1/23/05 7:00,2140
1/23/05 8:00,2313
1/23/05 9:00,2302
1/23/05 10:00,2290
1/23/05 11:00,2298
1/23/05 12:00,2256
1/23/05 13:00,2227
1/23/05 14:00,2181
1/23/05 15:00,2154
1/23/05 16:00,2142
1/23/05 17:00,2180
1/23/05 18:00,2369
1/23/05 19:00,2453
1/23/05 20:00,2430
1/23/05 21:00,2398
1/23/05 22:00,2332
1/23/05 23:00,2162
1/24/05 0:00,1992
1/24/05 1:00,1747
1/24/05 2:00,1669
1/24/05 3:00,1627
1/24/05 4:00,1621
1/24/05 5:00,1647
1/24/05 6:00,1780
1/24/05 7:00,2054
1/24/05 8:00,2214
1/24/05 9:00,2215
1/24/05 10:00,2220
1/24/05 11:00,2233
1/24/05 12:00,2219
1/24/05 13:00,2197
1/24/05 14:00,2172
1/24/05 15:00,2144
1/24/05 16:00,2160
1/24/05 17:00,2221
1/24/05 18:00,2423
1/24/05 19:00,2418
1/24/05 20:00,2381
1/24/05 21:00,2347
1/24/05 22:00,2261
1/24/05 23:00,2107
1/25/05 0:00,1914
1/25/05 1:00,1677
1/25/05 2:00,1634
1/25/05 3:00,1618
1/25/05 4:00,1615
1/25/05 5:00,1675
1/25/05 6:00,1831
1/25/05 7:00,2087
1/25/05 8:00,2271
1/25/05 9:00,2282
1/25/05 10:00,2290
1/25/05 11:00,2295
1/25/05 12:00,2275
1/25/05 13:00,2280
1/25/05 14:00,2249
1/25/05 15:00,2214
1/25/05 16:00,2188
1/25/05 17:00,2207
1/25/05 18:00,2382
1/25/05 19:00,2436
1/25/05 20:00,2393
1/25/05 21:00,2354
1/25/05 22:00,2247
1/25/05 23:00,2069
1/26/05 0:00,1869
1/26/05 1:00,1654
1/26/05 2:00,1573
1/26/05 3:00,1552
1/26/05 4:00,1537
1/26/05 5:00,1547
1/26/05 6:00,1590
1/26/05 7:00,1662
1/26/05 8:00,1746
1/26/05 9:00,1802
1/26/05 10:00,1827
1/26/05 11:00,1798
1/26/05 12:00,1777
1/26/05 13:00,1758
1/26/05 14:00,1725
1/26/05 15:00,1687
1/26/05 16:00,1692
1/26/05 17:00,1770
1/26/05 18:00,1988
1/26/05 19:00,2084
1/26/05 20:00,2073
1/26/05 21:00,2064
1/26/05 22:00,2009
1/26/05 23:00,1894
1/27/05 0:00,1778
1/27/05 1:00,1885
1/27/05 2:00,1791
1/27/05 3:00,1771
1/27/05 4:00,1764
1/27/05 5:00,1783
1/27/05 6:00,1845
1/27/05 7:00,1958
1/27/05 8:00,2064
1/27/05 9:00,2131
1/27/05 10:00,2160
1/27/05 11:00,2149
1/27/05 12:00,2093
1/27/05 13:00,2038
1/27/05 14:00,1981
1/27/05 15:00,1932
1/27/05 16:00,1892
1/27/05 17:00,1899
1/27/05 18:00,2058
1/27/05 19:00,2118
1/27/05 20:00,2073
1/27/05 21:00,2049
1/27/05 22:00,1989
1/27/05 23:00,1900
1/28/05 0:00,1758
1/28/05 1:00,1918
1/28/05 2:00,1859
1/28/05 3:00,1894
1/28/05 4:00,1824
1/28/05 5:00,1871
1/28/05 6:00,2012
1/28/05 7:00,2272
1/28/05 8:00,2418
1/28/05 9:00,2374
1/28/05 10:00,2370
1/28/05 11:00,2354
1/28/05 12:00,2310
1/28/05 13:00,2268
1/28/05 14:00,2233
1/28/05 15:00,2169
1/28/05 16:00,2133
1/28/05 17:00,2151
1/28/05 18:00,2322
1/28/05 19:00,2402
1/28/05 20:00,2376
1/28/05 21:00,2331
1/28/05 22:00,2280
1/28/05 23:00,2162
1/29/05 0:00,2006
1/29/05 1:00,1946
1/29/05 2:00,1884
1/29/05 3:00,1848
1/29/05 4:00,1851
1/29/05 5:00,1889
1/29/05 6:00,2022
1/29/05 7:00,2287
1/29/05 8:00,2430
1/29/05 9:00,2416
1/29/05 10:00,2416
1/29/05 11:00,2372
1/29/05 12:00,2294
1/29/05 13:00,2265
1/29/05 14:00,2223
1/29/05 15:00,2198
1/29/05 16:00,2157
1/29/05 17:00,2199
1/29/05 18:00,2377
1/29/05 19:00,2465
1/29/05 20:00,2439
1/29/05 21:00,2418
1/29/05 22:00,2328
1/29/05 23:00,2193
1/30/05 0:00,2031
1/30/05 1:00,1802
1/30/05 2:00,1736
1/30/05 3:00,1712
1/30/05 4:00,1722
1/30/05 5:00,1785
1/30/05 6:00,1957
1/30/05 7:00,2223
1/30/05 8:00,2388
1/30/05 9:00,2367
1/30/05 10:00,2331
1/30/05 11:00,2325
1/30/05 12:00,2305
1/30/05 13:00,2275
1/30/05 14:00,2247
1/30/05 15:00,2199
1/30/05 16:00,2170
1/30/05 17:00,2203
1/30/05 18:00,2381
1/30/05 19:00,2488
1/30/05 20:00,2474
1/30/05 21:00,2442
1/30/05 22:00,2371
1/30/05 23:00,2222
1/31/05 0:00,2042
1/31/05 1:00,1847
1/31/05 2:00,1782
1/31/05 3:00,1755
1/31/05 4:00,1740
1/31/05 5:00,1776
1/31/05 6:00,1902
1/31/05 7:00,2180
1/31/05 8:00,2337
1/31/05 9:00,2321
1/31/05 10:00,2320
1/31/05 11:00,2331
1/31/05 12:00,2327
1/31/05 13:00,2315
1/31/05 14:00,2299
1/31/05 15:00,2298
1/31/05 16:00,2293
1/31/05 17:00,2334
1/31/05 18:00,2479
1/31/05 19:00,2497
1/31/05 20:00,2452
1/31/05 21:00,2388
1/31/05 22:00,2285
1/31/05 23:00,2117
2/1/05 0:00,1931
2/1/05 1:00,1796
2/1/05 2:00,1753
2/1/05 3:00,1736
2/1/05 4:00,1728
2/1/05 5:00,1782
2/1/05 6:00,1927
2/1/05 7:00,2179
2/1/05 8:00,2337
2/1/05 9:00,2344
2/1/05 10:00,2359
2/1/05 11:00,2373
2/1/05 12:00,2361
2/1/05 13:00,2357
2/1/05 14:00,2337
2/1/05 15:00,2304
2/1/05 16:00,2277
2/1/05 17:00,2318
2/1/05 18:00,2466
2/1/05 19:00,2514
2/1/05 20:00,2473
2/1/05 21:00,2414
2/1/05 22:00,2312
2/1/05 23:00,2144
2/2/05 0:00,1981
2/2/05 1:00,1523
2/2/05 2:00,1473
2/2/05 3:00,1443
2/2/05 4:00,1453
2/2/05 5:00,1454
2/2/05 6:00,1485
2/2/05 7:00,1554
2/2/05 8:00,1640
2/2/05 9:00,1725
2/2/05 10:00,1799
2/2/05 11:00,1835
2/2/05 12:00,1857
2/2/05 13:00,1864
2/2/05 14:00,1843
2/2/05 15:00,1804
2/2/05 16:00,1778
2/2/05 17:00,1802
2/2/05 18:00,1987
2/2/05 19:00,2095
2/2/05 20:00,2106
2/2/05 21:00,2107
2/2/05 22:00,2057
2/2/05 23:00,1974
2/3/05 0:00,1883
2/3/05 1:00,1526
2/3/05 2:00,1458
2/3/05 3:00,1430
2/3/05 4:00,1419
2/3/05 5:00,1428
2/3/05 6:00,1467
2/3/05 7:00,1540
2/3/05 8:00,1634
2/3/05 9:00,1710
2/3/05 10:00,1794
2/3/05 11:00,1837
2/3/05 12:00,1819
2/3/05 13:00,1787
2/3/05 14:00,1742
2/3/05 15:00,1733
2/3/05 16:00,1731
2/3/05 17:00,1773
2/3/05 18:00,1911
2/3/05 19:00,1936
2/3/05 20:00,1913
2/3/05 21:00,1875
2/3/05 22:00,1823
2/3/05 23:00,1728
2/4/05 0:00,1627
2/4/05 1:00,1579
2/4/05 2:00,1546
2/4/05 3:00,1516
2/4/05 4:00,1517
2/4/05 5:00,1560
2/4/05 6:00,1625
2/4/05 7:00,1714
2/4/05 8:00,1811
2/4/05 9:00,1860
2/4/05 10:00,1917
2/4/05 11:00,1940
2/4/05 12:00,1930
2/4/05 13:00,1904
2/4/05 14:00,1879
2/4/05 15:00,1840
2/4/05 16:00,1813
2/4/05 17:00,1837
2/4/05 18:00,1939
2/4/05 19:00,1950
2/4/05 20:00,1924
2/4/05 21:00,1861
2/4/05 22:00,1806
2/4/05 23:00,1730
2/5/05 0:00,1620
2/5/05 1:00,1594
2/5/05 2:00,1514
2/5/05 3:00,1489
2/5/05 4:00,1488
2/5/05 5:00,1502
2/5/05 6:00,1541
2/5/05 7:00,1606
2/5/05 8:00,1684
2/5/05 9:00,1784
2/5/05 10:00,1890
2/5/05 11:00,1964
2/5/05 12:00,1948
2/5/05 13:00,1840
2/5/05 14:00,1721
2/5/05 15:00,1628
2/5/05 16:00,1574
2/5/05 17:00,1547
2/5/05 18:00,1655
2/5/05 19:00,1723
2/5/05 20:00,1757
2/5/05 21:00,1768
2/5/05 22:00,1762
2/5/05 23:00,1717
2/6/05 0:00,1646
2/6/05 1:00,1690
2/6/05 2:00,1619
2/6/05 3:00,1574
2/6/05 4:00,1561
2/6/05 5:00,1597
2/6/05 6:00,1711
2/6/05 7:00,1912
2/6/05 8:00,2090
2/6/05 9:00,2135
2/6/05 10:00,2189
2/6/05 11:00,2229
2/6/05 12:00,2235
2/6/05 13:00,2230
2/6/05 14:00,2208
2/6/05 15:00,2166
2/6/05 16:00,2133
2/6/05 17:00,2136
2/6/05 18:00,2219
2/6/05 19:00,2221
2/6/05 20:00,2159
2/6/05 21:00,2116
2/6/05 22:00,2033
2/6/05 23:00,1881
2/7/05 0:00,1713
2/7/05 1:00,1727
2/7/05 2:00,1657
2/7/05 3:00,1612
2/7/05 4:00,1597
2/7/05 5:00,1632
2/7/05 6:00,1762
2/7/05 7:00,2007
2/7/05 8:00,2167
2/7/05 9:00,2171
2/7/05 10:00,2170
2/7/05 11:00,2181
2/7/05 12:00,2167
2/7/05 13:00,2145
2/7/05 14:00,2127
2/7/05 15:00,2107
2/7/05 16:00,2070
2/7/05 17:00,2088
2/7/05 18:00,2240
2/7/05 19:00,2271
2/7/05 20:00,2232
2/7/05 21:00,2191
2/7/05 22:00,2095
2/7/05 23:00,1955
2/8/05 0:00,1817
2/8/05 1:00,1592
2/8/05 2:00,1551
2/8/05 3:00,1530
2/8/05 4:00,1540
2/8/05 5:00,1589
2/8/05 6:00,1733
2/8/05 7:00,1993
2/8/05 8:00,2191
2/8/05 9:00,2200
2/8/05 10:00,2220
2/8/05 11:00,2239
2/8/05 12:00,2212
2/8/05 13:00,2207
2/8/05 14:00,2188
2/8/05 15:00,2168
2/8/05 16:00,2125
2/8/05 17:00,2155
2/8/05 18:00,2293
2/8/05 19:00,2343
2/8/05 20:00,2302
2/8/05 21:00,2256
2/8/05 22:00,2153
2/8/05 23:00,2003
2/9/05 0:00,1842
2/9/05 1:00,1442
2/9/05 2:00,1380
2/9/05 3:00,1347
2/9/05 4:00,1332
2/9/05 5:00,1338
2/9/05 6:00,1365
2/9/05 7:00,1429
2/9/05 8:00,1515
2/9/05 9:00,1597
2/9/05 10:00,1672
2/9/05 11:00,1713
2/9/05 12:00,1725
2/9/05 13:00,1720
2/9/05 14:00,1697
2/9/05 15:00,1674
2/9/05 16:00,1669
2/9/05 17:00,1713
2/9/05 18:00,1870
2/9/05 19:00,1962
2/9/05 20:00,1960
2/9/05 21:00,1930
2/9/05 22:00,1881
2/9/05 23:00,1783
2/10/05 0:00,1681
2/10/05 1:00,1554
2/10/05 2:00,1470
2/10/05 3:00,1425
2/10/05 4:00,1407
2/10/05 5:00,1415
2/10/05 6:00,1458
2/10/05 7:00,1557
2/10/05 8:00,1657
2/10/05 9:00,1745
2/10/05 10:00,1819
2/10/05 11:00,1872
2/10/05 12:00,1858
2/10/05 13:00,1839
2/10/05 14:00,1795
2/10/05 15:00,1754
2/10/05 16:00,1744
2/10/05 17:00,1761
2/10/05 18:00,1859
2/10/05 19:00,1889
2/10/05 20:00,1844
2/10/05 21:00,1797
2/10/05 22:00,1742
2/10/05 23:00,1649
2/11/05 0:00,1545
2/11/05 1:00,1653
2/11/05 2:00,1560
2/11/05 3:00,1538
2/11/05 4:00,1529
2/11/05 5:00,1557
2/11/05 6:00,1690
2/11/05 7:00,1942
2/11/05 8:00,2105
2/11/05 9:00,2108
2/11/05 10:00,2125
2/11/05 11:00,2146
2/11/05 12:00,2130
2/11/05 13:00,2131
2/11/05 14:00,2144
2/11/05 15:00,2103
2/11/05 16:00,2074
2/11/05 17:00,2084
2/11/05 18:00,2141
2/11/05 19:00,2151
2/11/05 20:00,2083
2/11/05 21:00,2027
2/11/05 22:00,1954
2/11/05 23:00,1836
2/12/05 0:00,1680
2/12/05 1:00,1699
2/12/05 2:00,1625
2/12/05 3:00,1577
2/12/05 4:00,1570
2/12/05 5:00,1601
2/12/05 6:00,1721
2/12/05 7:00,1970
2/12/05 8:00,2131
2/12/05 9:00,2130
2/12/05 10:00,2128
2/12/05 11:00,2149
2/12/05 12:00,2141
2/12/05 13:00,2143
2/12/05 14:00,2129
2/12/05 15:00,2108
2/12/05 16:00,2077
2/12/05 17:00,2100
2/12/05 18:00,2221
2/12/05 19:00,2263
2/12/05 20:00,2220
2/12/05 21:00,2163
2/12/05 22:00,2059
2/12/05 23:00,1919
2/13/05 0:00,1756
2/13/05 1:00,1709
2/13/05 2:00,1647
2/13/05 3:00,1609
2/13/05 4:00,1591
2/13/05 5:00,1627
2/13/05 6:00,1750
2/13/05 7:00,2005
2/13/05 8:00,2161
2/13/05 9:00,2160
2/13/05 10:00,2171
2/13/05 11:00,2184
2/13/05 12:00,2176
2/13/05 13:00,2163
2/13/05 14:00,2173
2/13/05 15:00,2150
2/13/05 16:00,2141
2/13/05 17:00,2181
2/13/05 18:00,2294
